id,strand,fiveseen,polyAseen,threeseen,fiveend,polyAend,threeend,primer,chimera
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/116735/951_61_CCS,-,1,1,1,31,921,953,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/116773/1136_57_CCS,-,1,1,1,31,1110,1138,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/116851/1017_67_CCS,-,1,1,1,31,981,1019,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/116961/31_1326_CCS,+,1,1,1,31,1326,1355,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117097/1150_64_CCS,-,1,1,1,31,1117,1152,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117106/31_1329_CCS,+,1,1,1,31,1329,1358,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117109/31_916_CCS,+,1,1,1,31,916,946,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117142/31_912_CCS,+,1,1,1,31,912,948,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117270/30_1102_CCS,+,1,1,1,30,1102,1134,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117306/31_1526_CCS,+,1,1,1,31,1526,1555,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117356/31_1153_CCS,+,1,1,1,31,1153,1180,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117357/30_1311_CCS,+,1,1,1,30,1311,1335,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117439/1115_73_CCS,-,1,1,1,31,1073,1118,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117591/1139_59_CCS,-,1,1,1,29,1109,1139,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117704/1371_57_CCS,-,1,1,1,31,1345,1373,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/117948/31_961_CCS,+,1,1,1,31,961,991,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118090/1303_64_CCS,-,1,1,1,30,1269,1304,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118109/1488_58_CCS,-,1,1,1,31,1461,1490,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118154/29_803_CCS,+,1,1,1,29,803,830,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118159/1031_58_CCS,-,1,1,1,29,1002,1031,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118215/31_1116_CCS,+,1,1,1,31,1116,1146,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118308/1197_61_CCS,-,1,1,1,28,1164,1196,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118348/996_50_CCS,-,1,1,1,28,974,995,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118440/31_1113_CCS,+,1,1,1,31,1113,1140,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118486/31_891_CCS,+,1,1,1,31,891,919,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118583/1032_58_CCS,-,1,1,1,30,1004,1033,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118629/1025_78_CCS,-,1,1,1,30,977,1026,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118633/30_975_CCS,+,1,1,1,30,975,1006,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118638/31_915_CCS,+,1,1,1,31,915,961,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118651/30_1317_CCS,+,1,1,1,30,1317,1343,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118695/1368_58_CCS,-,1,1,1,31,1341,1370,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118853/30_1228_CCS,+,1,1,1,30,1228,1269,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/118880/29_1463_CCS,+,1,1,1,29,1463,1494,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119054/31_1509_CCS,+,1,1,1,31,1509,1531,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119059/31_1238_CCS,+,1,1,1,31,1238,1275,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119138/29_1113_CCS,+,1,1,1,29,1113,1142,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119147/31_979_CCS,+,1,1,1,31,979,1032,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119163/31_1190_CCS,+,1,1,1,31,1190,1216,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119228/1187_57_CCS,-,1,1,1,28,1158,1186,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119251/1004_62_CCS,-,1,1,1,31,973,1006,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119294/31_1002_CCS,+,1,1,1,31,1002,1041,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119363/1615_58_CCS,-,1,1,1,31,1588,1617,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119461/31_1064_CCS,+,1,1,1,31,1064,1094,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119486/30_1300_CCS,+,1,1,1,30,1300,1328,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119694/31_1330_CCS,+,1,1,1,31,1330,1361,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119696/30_1125_CCS,+,1,1,1,30,1125,1155,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119749/1068_60_CCS,-,1,1,1,31,1039,1070,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119793/1005_58_CCS,-,1,1,1,31,978,1007,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119830/1356_60_CCS,-,1,1,1,31,1327,1358,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119909/30_1102_CCS,+,1,1,1,30,1102,1129,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/119911/31_1465_CCS,+,1,1,1,31,1465,1496,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120039/30_1123_CCS,+,1,1,1,30,1123,1151,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120065/30_1270_CCS,+,1,1,1,30,1270,1303,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120081/1371_63_CCS,-,1,1,1,31,1339,1373,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120222/31_991_CCS,+,1,1,1,31,991,1035,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120325/32_1194_CCS,+,1,1,1,32,1194,1223,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120516/30_1031_CCS,+,1,1,1,30,1031,1060,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120525/1012_58_CCS,-,1,1,1,30,984,1013,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120536/1147_59_CCS,-,1,1,1,31,1119,1149,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120541/31_978_CCS,+,1,1,1,31,978,1006,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120592/30_999_CCS,+,1,1,1,30,999,1033,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120602/1006_59_CCS,-,1,1,1,29,976,1006,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120632/31_1118_CCS,+,1,1,1,31,1118,1147,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120800/31_1175_CCS,+,1,1,1,31,1175,1204,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120889/34_1387_CCS,+,1,1,1,34,1387,1428,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120939/1376_53_CCS,-,1,1,1,31,1354,1378,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/120998/1008_59_CCS,-,1,1,1,31,980,1010,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/121007/1367_58_CCS,-,1,1,1,30,1339,1368,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/121247/31_1391_CCS,+,1,1,1,31,1391,1426,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/121313/1007_59_CCS,-,1,1,1,30,978,1008,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/121495/26_1307_CCS,+,1,1,1,26,1307,1337,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/121570/31_970_CCS,+,1,1,1,31,970,1001,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/121626/28_1402_CCS,+,1,1,1,28,1402,1433,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/121908/1618_61_CCS,-,1,1,1,31,1588,1621,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/121958/31_912_CCS,+,1,1,1,31,912,941,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/121966/32_1185_CCS,+,1,1,1,32,1185,1215,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/122088/31_918_CCS,+,1,1,1,31,918,950,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/122092/32_1343_CCS,+,1,1,1,32,1343,1371,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/122096/31_1016_CCS,+,1,1,1,31,1016,1048,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/122150/1342_56_CCS,-,1,1,1,30,1316,1343,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/122253/31_1592_CCS,+,1,1,1,31,1592,1620,1,0
